'AAPL', datetime.datetime(2012, 9, 21), datetime.datetime(2012, 9, 23)
'WMB', datetime.datetime(2012, 9, 21), datetime.datetime(2012, 9, 23)
'HPQ', datetime.datetime(2012, 9, 20), datetime.datetime(2012, 9, 22)
'FB', datetime.datetime(2012, 9, 20), datetime.datetime(2012, 9, 22)
'AAPL', datetime.datetime(2012, 9, 20), datetime.datetime(2012, 9, 22)
'WMB', datetime.datetime(2012, 9, 18), datetime.datetime(2012, 9, 20)
'EBAY', datetime.datetime(2012, 9, 18), datetime.datetime(2012, 9, 20)
'WMB', datetime.datetime(2012, 9, 18), datetime.datetime(2012, 9, 20)
'AAPL', datetime.datetime(2012, 9, 18), datetime.datetime(2012, 9, 20)
'EBAY', datetime.datetime(2012, 9, 17), datetime.datetime(2012, 9, 19)
'NKE', datetime.datetime(2012, 9, 17), datetime.datetime(2012, 9, 19)
'WMT', datetime.datetime(2012, 9, 17), datetime.datetime(2012, 9, 19)
'TWTR', datetime.datetime(2012, 9, 17), datetime.datetime(2012, 9, 19)
'KEY', datetime.datetime(2012, 9, 16), datetime.datetime(2012, 9, 18)
'AAPL', datetime.datetime(2012, 9, 16), datetime.datetime(2012, 9, 18)
'AAPL', datetime.datetime(2012, 9, 15), datetime.datetime(2012, 9, 17)
'WMB', datetime.datetime(2012, 9, 15), datetime.datetime(2012, 9, 17)
'DISCK', datetime.datetime(2012, 9, 15), datetime.datetime(2012, 9, 17)
'FB', datetime.datetime(2012, 9, 15), datetime.datetime(2012, 9, 17)
'FB', datetime.datetime(2012, 9, 15), datetime.datetime(2012, 9, 17)
'EBAY', datetime.datetime(2012, 9, 14), datetime.datetime(2012, 9, 16)
'WMB', datetime.datetime(2012, 9, 14), datetime.datetime(2012, 9, 16)
'AAPL', datetime.datetime(2012, 9, 14), datetime.datetime(2012, 9, 16)
'AAPL', datetime.datetime(2012, 9, 14), datetime.datetime(2012, 9, 16)
'TWTR', datetime.datetime(2012, 9, 12), datetime.datetime(2012, 9, 14)
'AAPL', datetime.datetime(2012, 9, 12), datetime.datetime(2012, 9, 14)
'FB', datetime.datetime(2012, 9, 11), datetime.datetime(2012, 9, 13)
'WMB', datetime.datetime(2012, 9, 11), datetime.datetime(2012, 9, 13)
'TWTR', datetime.datetime(2012, 9, 11), datetime.datetime(2012, 9, 13)
'AAPL', datetime.datetime(2012, 9, 10), datetime.datetime(2012, 9, 12)
'EBAY', datetime.datetime(2012, 9, 10), datetime.datetime(2012, 9, 12)
